NTDLL dump: 
LdrQueryOptionalDelayLoadedAPI address: 0x77663060
LdrQueryProcessModuleInformation address: 0x77661b90
LdrRegisterDllNotification address: 0x775bc180
LdrRemoveDllDirectory address: 0x77670400
LdrRemoveLoadAsDataTable address: 0x775ce630
LdrResFindResource address: 0x7761f510
LdrResFindResourceDirectory address: 0x7760a050
LdrResGetRCConfig address: 0x775c2140
LdrResRelease address: 0x77674080
LdrResSearchResource address: 0x77607c80
LdrResolveDelayLoadedAPI address: 0x77606120
LdrResolveDelayLoadsFromDll address: 0x77663140
LdrRscIsTypeExist address: 0x7761a4a0
LdrSetAppCompatDllRedirectionCallback address: 0x7764be10
LdrSetDefaultDllDirectories address: 0x775b3520
LdrSetDllDirectory address: 0x7761eed0
LdrSetDllManifestProber address: 0x7760e960
LdrSetImplicitPathOptions address: 0x77662090
LdrSetMUICacheType address: 0x77672960
LdrShutdownProcess address: 0x7761cf60
LdrShutdownThread address: 0x775d2d70
LdrStandardizeSystemPath address: 0x7760a2c0
LdrSystemDllInitBlock address: 0x776b41e0
LdrUnloadAlternateResourceModule address: 0x775ce610
LdrUnloadAlternateResourceModuleEx address: 0x775ce560
LdrUnloadDll address: 0x7761d030
LdrUnlockLoaderLock address: 0x775c4eb0
LdrUnregisterDllNotification address: 0x776620f0
LdrVerifyImageMatchesChecksum address: 0x77662170
LdrVerifyImageMatchesChecksumEx address: 0x776621e0
LdrWx86FormatVirtualImage address: 0x77668ab0
LdrpResGetMappingSize address: 0x77607b50
LdrpResGetResourceDirectory address: 0x776078c0
MD4Final address: 0x7769dea0
MD4Init address: 0x7769df40
MD4Update address: 0x7769df80
MD5Final address: 0x7769e090
MD5Init address: 0x7769e130
MD5Update address: 0x7769e170
NlsAnsiCodePage address: 0x776b002c
NlsMbCodePageTag address: 0x776b0000
NlsMbOemCodePageTag address: 0x776b000e
NtAcceptConnectPort address: 0x775ec310
NtAccessCheck address: 0x775ec920
NtAccessCheckAndAuditAlarm address: 0x775ec580
NtAccessCheckByType address: 0x775ec930
NtAccessCheckByTypeAndAuditAlarm address: 0x775ec880
NtAccessCheckByTypeResultList address: 0x775ec940
NtAccessCheckByTypeResultListAndAuditAlarm address: 0x775ec950
NtAccessCheckByTypeResultListAndAuditAlarmByHandle address: 0x775ec960
NtAddAtom address: 0x775ec760
NtAddAtomEx address: 0x775ec970
NtAddBootEntry address: 0x775ec980
NtAddDriverEntry address: 0x775ec990
NtAdjustGroupsToken address: 0x775ec9a0
NtAdjustPrivilegesToken address: 0x775ec700
NtAdjustTokenClaimsAndDeviceGroups address: 0x775ec9b0
NtAlertResumeThread address: 0x775ec9c0
NtAlertThread address: 0x775ec9d0
NtAlertThreadByThreadId address: 0x775ec9e0
NtAllocateLocallyUniqueId address: 0x775ec9f0
